Notes,County,County Code,Deaths,Population,Crude Rate
,"Barbour County, AL",01005,0,599031,Unreliable
,"Bibb County, AL",01007,0,487078,Unreliable
,"Butler County, AL",01013,0,452078,Unreliable
,"Choctaw County, AL",01023,0,309114,Unreliable
,"Clay County, AL",01027,0,303992,Unreliable
,"Cleburne County, AL",01029,0,323493,Unreliable
,"Crenshaw County, AL",01041,0,304355,Unreliable
,"DeKalb County, AL",01049,0,1524050,Unreliable
,"Geneva County, AL",01061,0,578597,Unreliable
,"Aleutians East Borough, AK",02013,0,67073,Unreliable
,"Aleutians West Census Area, AK",02016,0,123330,Unreliable
,"Bristol Bay Borough, AK",02060,0,22684,Unreliable
,"Denali Borough, AK",02068,0,34323,Unreliable
,"Haines Borough, AK",02100,0,53818,Unreliable
,"Hoonah-Angoon Census Area, AK",02105,0,14878,Unreliable
,"Juneau Borough, AK",02110,0,693520,Unreliable
,"Kodiak Island Borough, AK",02150,0,297960,Unreliable
,"Lake and Peninsula Borough, AK",02164,0,36035,Unreliable
,"Nome Census Area, AK",02180,0,210229,Unreliable
,"North Slope Borough, AK",02185,0,195049,Unreliable
,"Northwest Arctic Borough, AK",02188,0,165300,Unreliable
,"Petersburg Borough/Census Area, AK",02195,0,22550,Unreliable
,"Prince of Wales-Outer Ketchikan Census Area, AK",02201,0,85493,Unreliable
,"Skagway Municipality, AK",02230,0,7848,Unreliable
,"Skagway-Hoonah-Angoon Census Area, AK",02232,0,48560,Unreliable
,"Valdez-Cordova Census Area, AK",02261,0,203432,Unreliable
,"Wrangell City and Borough, AK",02275,0,17193,Unreliable
,"Wrangell-Petersburg Census Area, AK",02280,0,94972,Unreliable
,"Yakutat Borough, AK",02282,0,14584,Unreliable
,"Yukon-Koyukuk Census Area, AK",02290,0,134664,Unreliable
,"Greenlee County, AZ",04011,0,190371,Unreliable
,"Calhoun County, AR",05013,0,119436,Unreliable
,"Chicot County, AR",05017,0,263590,Unreliable
,"Izard County, AR",05065,0,296796,Unreliable
,"Marion County, AR",05089,0,362368,Unreliable
,"Pike County, AR",05109,0,244351,Unreliable
,"Stone County, AR",05137,0,268468,Unreliable
,"Alpine County, CA",06003,0,25841,Unreliable
,"Modoc County, CA",06049,0,204380,Unreliable
,"Mono County, CA",06051,0,303763,Unreliable
,"Sierra County, CA",06091,0,71033,Unreliable
,"Trinity County, CA",06105,0,289753,Unreliable
,"Alamosa County, CO",08003,0,344932,Unreliable
,"Bent County, CO",08011,0,130723,Unreliable
,"Chaffee County, CO",08015,0,395724,Unreliable
,"Cheyenne County, CO",08017,0,42595,Unreliable
,"Clear Creek County, CO",08019,0,204086,Unreliable
,"Conejos County, CO",08021,0,181612,Unreliable
,"Costilla County, CO",08023,0,80119,Unreliable
,"Crowley County, CO",08025,0,124927,Unreliable
,"Custer County, CO",08027,0,92985,Unreliable
,"Delta County, CO",08029,0,657926,Unreliable
,"Dolores County, CO",08033,0,43466,Unreliable
,"Elbert County, CO",08039,0,511734,Unreliable
,"Gilpin County, CO",08047,0,117699,Unreliable
,"Grand County, CO",08049,0,313279,Unreliable
,"Gunnison County, CO",08051,0,338857,Unreliable
,"Hinsdale County, CO",08053,0,17760,Unreliable
,"Jackson County, CO",08057,0,31417,Unreliable
,"Kiowa County, CO",08061,0,31910,Unreliable
,"Kit Carson County, CO",08063,0,174246,Unreliable
,"Lake County, CO",08065,0,166318,Unreliable
,"Las Animas County, CO",08071,0,330335,Unreliable
,"Lincoln County, CO",08073,0,124287,Unreliable
,"Logan County, CO",08075,0,482249,Unreliable
,"Mineral County, CO",08079,0,16923,Unreliable
,"Montezuma County, CO",08083,0,555015,Unreliable
,"Montrose County, CO",08085,0,862399,Unreliable
,"Otero County, CO",08089,0,417535,Unreliable
,"Ouray County, CO",08091,0,95737,Unreliable
,"Park County, CO",08093,0,361777,Unreliable
,"Phillips County, CO",08095,0,96585,Unreliable
,"Pitkin County, CO",08097,0,364238,Unreliable
,"Rio Blanco County, CO",08103,0,139909,Unreliable
,"Rio Grande County, CO",08105,0,260984,Unreliable
,"San Juan County, CO",08111,0,14628,Unreliable
,"Sedgwick County, CO",08115,0,54020,Unreliable
,"Summit County, CO",08117,0,605919,Unreliable
,"Teller County, CO",08119,0,504406,Unreliable
,"Yuma County, CO",08125,0,219173,Unreliable
,"Tolland County, CT",09013,0,3260464,Unreliable
,"Bradford County, FL",12007,0,605265,Unreliable
,"Calhoun County, FL",12013,0,308906,Unreliable
,"DeSoto County, FL",12027,0,763370,Unreliable
,"Dixie County, FL",12029,0,345644,Unreliable
,"Franklin County, FL",12037,0,247592,Unreliable
,"Gulf County, FL",12045,0,336409,Unreliable
,"Hamilton County, FL",12047,0,313203,Unreliable
,"Lafayette County, FL",12067,0,180397,Unreliable
,"Liberty County, FL",12077,0,175417,Unreliable
,"Okeechobee County, FL",12093,0,864409,Unreliable
,"Taylor County, FL",12123,0,470359,Unreliable
,"Union County, FL",12125,0,326316,Unreliable
,"Baker County, GA",13007,0,78206,Unreliable
,"Banks County, GA",13011,0,383297,Unreliable
,"Brooks County, GA",13027,0,350887,Unreliable
,"Bryan County, GA",13029,0,675116,Unreliable
,"Calhoun County, GA",13037,0,140673,Unreliable
,"Catoosa County, GA",13047,0,1369510,Unreliable
,"Charlton County, GA",13049,0,268841,Unreliable
,"Chattahoochee County, GA",13053,0,281265,Unreliable
,"Clay County, GA",13061,0,69325,Unreliable
,"Clinch County, GA",13065,0,149937,Unreliable
,"Crawford County, GA",13079,0,276326,Unreliable
,"Crisp County, GA",13081,0,500184,Unreliable
,"Dodge County, GA",13091,0,455033,Unreliable
,"Early County, GA",13099,0,244983,Unreliable
,"Elbert County, GA",13105,0,439980,Unreliable
,"Forsyth County, GA",13117,0,3786718,Unreliable
,"Gilmer County, GA",13123,0,611750,Unreliable
,"Glascock County, GA",13125,0,63952,Unreliable
,"Grady County, GA",13131,0,539760,Unreliable
,"Greene County, GA",13133,0,354225,Unreliable
,"Hancock County, GA",13141,0,204138,Unreliable
,"Haralson County, GA",13143,0,620646,Unreliable
,"Harris County, GA",13145,0,669540,Unreliable
,"Hart County, GA",13147,0,546184,Unreliable
,"Jasper County, GA",13159,0,291242,Unreliable
,"Jeff Davis County, GA",13161,0,314783,Unreliable
,"Lamar County, GA",13171,0,388446,Unreliable
,"Lanier County, GA",13173,0,203917,Unreliable
,"Lee County, GA",13177,0,610356,Unreliable
,"Lincoln County, GA",13181,0,177130,Unreliable
,"Long County, GA",13183,0,320097,Unreliable
,"Lumpkin County, GA",13187,0,625283,Unreliable
,"Meriwether County, GA",13199,0,482353,Unreliable
,"Miller County, GA",13201,0,133213,Unreliable
,"Mitchell County, GA",13205,0,509481,Unreliable
,"Monroe County, GA",13207,0,560508,Unreliable
,"Montgomery County, GA",13209,0,196472,Unreliable
