Notes,County,County Code,Deaths,Population,Crude Rate,county_fips,Deaths_adjusted,Crude Rate_adjusted,label
,"Autauga County, AL",01001,Suppressed,1143294,Suppressed,01001,5,4.373328295259137e-06,0
,"Baldwin County, AL",01003,Suppressed,3987384,Suppressed,01003,5,1.253954973987958e-06,0
,"Blount County, AL",01009,Suppressed,1229334,Suppressed,01009,5,4.067242913642672e-06,0
,"Bullock County, AL",01011,Suppressed,238108,Suppressed,01011,5,2.0998874460328927e-05,1
,"Calhoun County, AL",01015,Suppressed,2530557,Suppressed,01015,5,1.9758495856841e-06,0
,"Chambers County, AL",01017,Suppressed,762379,Suppressed,01017,5,6.558417794823834e-06,0
,"Cherokee County, AL",01019,Suppressed,559466,Suppressed,01019,5,8.937093585669192e-06,1
,"Chilton County, AL",01021,Suppressed,939984,Suppressed,01021,5,5.31923947641662e-06,0
,"Clarke County, AL",01025,Suppressed,567825,Suppressed,01025,5,8.805529872760094e-06,1
,"Coffee County, AL",01031,Suppressed,1066907,Suppressed,01031,5,4.686444085566971e-06,0
,"Colbert County, AL",01033,Suppressed,1200777,Suppressed,01033,5,4.163970495770655e-06,0
,"Conecuh County, AL",01035,Suppressed,288724,Suppressed,01035,5,1.731757664759424e-05,1
,"Coosa County, AL",01037,Suppressed,247566,Suppressed,01037,5,2.019663443283811e-05,1
,"Covington County, AL",01039,Suppressed,823507,Suppressed,01039,5,6.0715938055171355e-06,0
,"Cullman County, AL",01043,Suppressed,1765568,Suppressed,01043,5,2.831949831442346e-06,0
,"Dale County, AL",01045,Suppressed,1087885,Suppressed,01045,5,4.596074033560533e-06,0
,"Dallas County, AL",01047,Suppressed,941217,Suppressed,01047,5,5.312271240319714e-06,0
,"Elmore County, AL",01051,Suppressed,1681462,Suppressed,01051,5,2.9736027338114096e-06,0
,"Escambia County, AL",01053,Suppressed,830558,Suppressed,01053,5,6.020049171761635e-06,0
,"Etowah County, AL",01055,Suppressed,2274673,Suppressed,01055,5,2.1981181470919116e-06,0
,"Fayette County, AL",01057,Suppressed,381962,Suppressed,01057,5,1.3090307412779282e-05,1
,"Franklin County, AL",01059,Suppressed,689796,Suppressed,01059,5,7.248519852246171e-06,0
,"Greene County, AL",01063,Suppressed,199894,Suppressed,01063,5,2.50132570262239e-05,1
,"Hale County, AL",01065,Suppressed,351082,Suppressed,01065,5,1.424168712722384e-05,1
,"Henry County, AL",01067,Suppressed,373340,Suppressed,01067,5,1.3392617988964482e-05,1
,"Houston County, AL",01069,Suppressed,2172484,Suppressed,01069,5,2.3015129225347573e-06,0
,"Jackson County, AL",01071,Suppressed,1166047,Suppressed,01071,5,4.287991821941997e-06,0
,"Lamar County, AL",01075,Suppressed,322037,Suppressed,01075,5,1.5526166247977715e-05,1
,"Lauderdale County, AL",01077,Suppressed,2003157,Suppressed,01077,5,2.4960599693383995e-06,0
,"Lawrence County, AL",01079,Suppressed,746485,Suppressed,01079,5,6.698058232918277e-06,0
,"Limestone County, AL",01083,Suppressed,1796090,Suppressed,01083,5,2.7838248640101554e-06,0
,"Lowndes County, AL",01085,Suppressed,253625,Suppressed,01085,5,1.9714144898965007e-05,1
,"Macon County, AL",01087,Suppressed,464324,Suppressed,01087,5,1.0768342795117203e-05,1
,"Madison County, AL",01089,Suppressed,7192406,Suppressed,01089,5,6.951776637748203e-07,0
,"Marengo County, AL",01091,Suppressed,458479,Suppressed,01091,5,1.0905624903212579e-05,1
,"Marion County, AL",01093,Suppressed,670164,Suppressed,01093,5,7.460860326725996e-06,0
,"Marshall County, AL",01095,Suppressed,1993871,Suppressed,01095,5,2.507684800069814e-06,0
,"Monroe County, AL",01099,Suppressed,501263,Suppressed,01099,5,9.974803645990229e-06,1
,"Montgomery County, AL",01101,Suppressed,4973622,Suppressed,01101,5,1.0053035795643498e-06,0
,"Morgan County, AL",01103,Suppressed,2568864,Suppressed,01103,5,1.946385639722461e-06,0
,"Perry County, AL",01105,Suppressed,229560,Suppressed,01105,5,2.1780798048440494e-05,1
,"Pickens County, AL",01107,Suppressed,443965,Suppressed,01107,5,1.1262149043280438e-05,1
,"Pike County, AL",01109,Suppressed,702548,Suppressed,01109,5,7.116951439616937e-06,0
,"Randolph County, AL",01111,Suppressed,498116,Suppressed,01111,5,1.0037822515237415e-05,1
