indicator,cdc_weight,unconstrained_weight,constrained_weight
PR_NEHD,0.125,-0.05641034,0.005722364
PR_HRI,0.125,0.476686652,1.019698649
PR_CHD,0.0417,0.203777,0.954252053
PR_OBS,0.0417,-0.42341344,-0.41513242
PR_DIABETES,0.0417,0.811374578,0.595053435
PR_COPD,0.0417,-0.20810172,-0.404111143
PR_ASTHMA,0.0417,0.305239778,0.15753261
PR_MNTHL,0.0417,1.287704224,1.540689724
PR_UNINSUR,0.025,0.152399763,1.867055275
PR_POV,0.025,0.257269063,1.899116346
PR_UNEMP,0.025,0.459459432,3.839598444
PR_NOHSDP,0.025,0.156596327,0.215803556
PR_ISO,0.025,-0.37682388,0.442668868
PR_ELP,0.025,0.213684322,0.788085863
PR_DISABL,0.025,0.027979778,-2.52545608
PR_ODW,0.025,0.391452749,1.544339756
PR_AGE65,0.025,-0.38132654,-1.2996245
PR_AGE5,0.025,-0.0633286,-0.133058247
PR_IMPERV,0.0357,1.119004451,1.474703297
PR_TREEC,0.0357,0.657999036,0.485299136
PR_NOVEH,0.0357,-0.38622006,-4.58422832
PR_MOBILE,0.0357,-0.15361724,1.863088842
PR_RENT,0.0357,-0.31422118,-0.515918589
PR_OZONE,0.0357,0.68092486,0.8678938
PR_PM25,0.0357,-0.018935598,-0.14887186
